Experimental molecular inhibitory activities against Replicase_Polyprotein,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
76,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)C5=CC=CC=C5,127043645,1
77,C1=CC=C(C=C1)C2=CC=C(C=C2)/C=C\3/C(=NN(C3=O)C4=CC=CC(=C4)C(=O)O)C5=CC=CC=C5,127045229,1
78,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)C5=CC=C(C=C5)F,102341659,1
79,CC(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=C(C=CC(=C4)Cl)C(=O)O)/C(=N2)C5=CC=CC=C5,127043641,1
80,CC(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)/C(=N2)C5=CC=CC=C5,127045220,1
81,CC(C)(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)/C(=N2)C5=CC=CC=C5,127045221,1
82,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)C5=CC=C(C=C5)C#N,127045222,1
83,COC1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4C(=O)O)/C(=N2)C5=CC=CC=C5,127045227,1
84,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=C(C=CC(=C4)Cl)C(=O)O)C5=CC=CC(=C5)C(=O)O,127045393,1
85,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=C(C=CC(=C4)Cl)C(=O)O)C5=CC=CC=C5,102341658,1
86,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(O3)C4=C(C=CC(=C4)Cl)C(=O)O)C5=CC=C(C=C5)F,127043455,1
87,C1=CC=C(C=C1)C2=CC=C(O2)/C=C\3/C(=NN(C3=O)C4=CC=CC(=C4)C(=O)O)C5=CC=CC=C5,127043644,1
88,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=C\3/C(=NN(C3=O)C4=CC=CC(=C4)C(=O)O)C5=CC=CC=C5,127045386,1
89,C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)C)O,127048410,1
90,C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)C)O,127052510,1
91,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)N)NC(=O)C)O,127048409,1
92,C[C@H]([C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)N)NC(=O)C)O,15949840,1
93,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)O,127052513,1
94,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OC2CCN(CC2)S(=O)(=O)C,145964710,1
95,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OC2(CCN(CC2)C(=O)OC(C)(C)C)CC3=CC=CC=C3.[Na+],145975081,1
96,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OC2CCN(CC2)C(=O)OC(C)(C)C,145966788,1
97,CCOC(=O)N1CCC(CC1)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-].[Na+],145978039,1
98,CCC1(CCN(CC1)C(=O)OC(C)(C)C)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O,145964401,1
99,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OC2CCN(CC2)S(=O)(=O)C.[Na+],145964420,1
100,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OC2(CCN(CC2)S(=O)(=O)C)CC3=CC=CC=C3,145972736,1
101,CCC1(CCN(CC1)C(=O)OC(C)(C)C)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-].[Na+],145972809,1
102,CCOC(=O)N1CCC(CC1)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O,145972878,1
103,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OC2CCN(CC2)C(=O)OC(C)(C)C.[Na+],145975487,1
104,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OC2(CCN(CC2)S(=O)(=O)C)CC3=CC=CC=C3.[Na+],145967285,1
105,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OC2(CCN(CC2)C(=O)OC(C)(C)C)CC3=CC=CC=C3,145976006,1
106,C1=CC=C2C(=C1)C=C(S2)CN3C4=C(C=CC=C4Br)C(=O)C3=O,11667869,1
107,C1=CC(=C(C=C1F)Cl)CN2C3=C(C=C(C=C3)I)C(=O)C2=O,44398002,1
108,C1=CC=C2C(=C1)C=C(S2)CN3C4=C(C=C(C=C4)F)C(=O)C3=O,44398207,1
109,C1=CC=C2C(=C1)C=C(S2)CN3C4=C(C=CC=C4[N+](=O)[O-])C(=O)C3=O,44398343,1
110,C1CCN(CC1)C(=O)C2=CC=C(S2)CN3C4=C(C=C(C=C4)I)C(=O)C3=O,44398436,1
111,CC1=C(C(=NO1)C)CN2C3=C(C=C(C=C3)C#N)C(=O)C2=O,44398160,1
112,C1=CC=C2C(=C1)C=C(S2)/C=C/CN3C4=C(C=C(C=C4)I)C(=O)C3=O,44398231,1
113,C1=CC=C2C(=C1)C=C(S2)CN3C4=C(C(=CC=C4)Cl)C(=O)C3=O,44398344,1
114,C1=CC=C2C(=C1)C=C(S2)CN3C4=C(C=C(C=C4)I)C(=O)C3=O,11796320,1
115,C1=CC(=CC=C1NC(=O)C2=CC=C(S2)CN3C4=C(C=C(C=C4)I)C(=O)C3=O)Cl,44398546,1
116,C1=CC=C2C(=C1)C=C(S2)CN3C4=CC=CC=C4C(=O)C3=O,44398055,1
117,C1C(OC2=CC=CC=C2O1)CN3C4=C(C=C(C=C4)I)C(=O)C3=O,44398167,1
118,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=CC=C2)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,11642725,1
119,C1=CC=C2C=C(C=CC2=C1)CN3C4=C(C=C(C=C4)C(=O)N)C(=O)C3=O,515964,1
120,CCCCN1C2=C(C=C(C=C2)C(=O)N)C(=O)C1=O,11630144,1
121,C1=CC=C2C=C(C=CC2=C1)CN3C4=C(C=C(C=C4)I)C(=O)C3=O,10645393,1
122,C1=CC=C(C=C1)CN2C3=C(C=C(C=C3)C(=O)N)C(=O)C2=O,515962,1
123,CCCN1C2=C(C=C(C=C2)C(=O)N)C(=O)C1=O,11644322,1
124,COC1=CC=CC(=C1)C2=C(C(=O)NC(=N2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N)C#N,135411083,1
125,CN1C(=CC(=N1)C2=CC=C(S2)C3=NC(=NC=C3)SCC(=O)NC4=CC=C(C=C4)Cl)C(F)(F)F,2821293,1
126,CC1=CSC(=N1)C2=C(C(=C(S2)SC)C3=NC(=NC=C3)SCC(=O)NC4=CC=C(C=C4)Cl)C,2820912,1
127,CC1=NC(=CS1)C2=NC(=CS2)C3=NC(=NC=C3)SCC(=O)NC4=CC=C(C=C4)Cl,2744846,1
128,CC(C)C1=CC=C(C=C1)NC(=O)CSC2=NC=CC(=N2)C3=CC=CS3,2811874,1
129,C1=CC=C(C=C1)C2=NOC(=C2)C3=NC(=NC=C3)SCC(=O)NC4=CC=C(C=C4)Cl,2745617,1
130,CCCC1=CC(=O)NC(=N1)SCC(=O)NC2=CC=C(C=C2)Cl,135442547,1
131,COC1=C(C=C(C=C1)NC(=O)CSC2=NC(=CC(=O)N2)C3=CC=CC=C3)OC,135410958,1
132,CC1=CSC(=N1)C2=C(C(=C(S2)SC)C3=NC(=NC=C3)SCC(=O)NC4=CC=CC=C4Cl)C,2820914,1
133,C1=CC(=CC=C1C(F)(F)F)NC(=O)CSC2=NC=CC(=N2)C3=CC(=NO3)C4=C(C=C(C=C4)Cl)Cl,2745640,1
134,C1=CC=C(C=C1)C2=NC(=CS2)C3=NC(=NC=C3)SCC(=O)NC4=CC(=CC(=C4)Cl)Cl,2744814,1
135,C1=CC=C(C(=C1)C2=NOC(=C2)C3=NC(=NC=C3)SCC(=O)NC4=CC=C(C=C4)Cl)Cl,2745653,1
136,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](C(C)C)NC(=O)OCC3=CC=CC=C3,6478229,1
137,CC([C@@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,11456186,1
138,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)OCC2=CC=CC=C2,11444522,1
139,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)OC(C)(C)C)NC(=O)OCC2=CC=CC=C2,11786957,1
140,CC1=NOC(=C1[N+](=O)[O-])NC(=O)C2=CC=C(S2)C3=CC(=NN3C)C(F)(F)F,3776668,1
141,CC1=C(C=C(O1)C(C)(C)C)C2=CC(=NN2)NS(=O)(=O)C3=CC=CS3,2742278,1
142,CC1=CC=C(C=C1)S(=O)(=O)C2=NC(=C(C(=C2C#N)C)[N+](=O)[O-])C,2726176,1
143,CSC1=NNC(=C1S(=O)(=O)C2=CC=CC=C2)NC(=O)C3=CC=CS3,44415162,1
144,CC1(CC2=C(SC(=C2C(=O)C1)NCC3=CC=CO3)C#N)C,2820775,1
145,CC1=NN(C(=C1[N+](=O)[O-])N2C(=C(C(=N2)SC)C#N)C3=CC=CS3)C,4398304,1
146,CC1=CC(=C(C=C1Cl)Cl)S(=O)(=O)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],2799606,1
147,C1=CC(=CC=C1S(=O)(=O)C2=[N+](C=C(C=C2)[N+](=O)[O-])[O-])Cl,2774667,1
148,CC(=O)C1=CC=CC=C1S(=O)(=O)C2=CC=CC=C2C(=O)O,4270495,1
149,C1=CC(=CC=C1S(=O)(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])Cl,2797358,1
150,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC(=C(C(=C2)Br)O)Br,2775844,1
151,C1=CC(=CC=C1S(=O)(=O)C2=CN=C(N=C2N)N)Cl,2819040,1
152,CC1=C(C(=NC(=C1[N+](=O)[O-])C)S(=O)(=O)C2=CC=CC=C2)C#N,2726174,1
153,CCOC(=O)/C(=C/NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)N/C=C(/C(=O)OCC)\C#N)/C#N,2799801,1
154,C1=CSC(=C1)S(=O)(=O)CC2=NC(=CS2)C3=CC=C(S3)Cl.[Br-],44415172,1
155,CC1=NN(C(=C1[N+](=O)[O-])NCC2=CC=C(S2)C3=CC=CS3)C,4305683,1
156,C1=CSC(=N1)CC(=O)C2=NC=CS2,44415173,1
157,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],70871,1
158,CCOC(=O)C(=CNC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)NC=C(C(=O)OCC)C(=O)OCC)C(=O)OCC,2799800,1
159,C1=CC=C(C=C1)C#CC2=CC=C(O2)C(=O)SC3=NNC(=N3)C(F)(F)F,2822496,1
160,C1=CC(=CC=C1OC(=O)C(=C(Cl)Cl)Cl)S(=O)(=O)C2=CC=C(C=C2)OC(=O)C(=C(Cl)Cl)Cl,2774892,1
161,C1=COC(=C1)C(=O)OC2=CC(=CN=C2)Cl,7230550,1
162,C1=CC=C2C(=C1)C=C(N2)C(=O)OC3=CC(=CN=C3)Cl,16204322,1
163,C1=CC(=CC=C1C2=CC=C(O2)C(=O)OC3=CC(=CN=C3)Cl)Cl,16203797,1
164,C1=CC=C2C(=C1)C=C(O2)C(=O)OC3=CC(=CN=C3)Cl,16204318,1
165,C1=COC(=C1)C(=O)OC2=CC(=CN=C2)Br,16203681,1
166,C1=CC=C2C(=C1)C=C(S2)C(=O)OC3=CC(=CN=C3)Cl,2800273,1
167,C1=C(C=NC=C1Cl)OC(=O)C2=CSC=N2,16203796,1
168,COC1=CC=CC(=C1)C(=O)OC2=CC(=CN=C2)Cl,16204324,1
169,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C,114917,1
170,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,11425923,1
171,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)CO,318797,1
172,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC[C@]4(C)C(=O)OC,14610613,1
173,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,160142,1
174,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,160254,1
175,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,164676,1
176,C1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=CC=C3)C4=CC=CC=C4,5367170,0
177,CC(=O)NC1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,52947189,0
178,C1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,52947217,0
179,CN(C)C1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=CC=C3)C4=CC=CC=C4,5759731,0
180,COC1=CC=CC(=C1)/C=C\2/C(=NN(C2=O)C3=CC=CC=C3)C4=CC=CC=C4,15263288,0
181,CC(=O)NC1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=CC=C3)C4=CC=CC=C4,52941137,0
182,COC1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,52945968,0
183,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl,52950199,0
184,CC(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(C=C3)C(=O)O)/C(=N2)C4=CC=CC=C4,52948374,0
185,CC(C)(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(C=C3)C(=O)O)/C(=N2)C4=CC=CC=C4,52943505,0
186,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC(=CC=C3)[N+](=O)[O-])C4=CC=CC=C4,52945981,0
187,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)O)C4=CC=C(C=C4)Cl,136203765,0
188,C1=CC=C(C=C1)OCCN2C3=CC=CC=C3N=C2CCCO,2911959,0
189,CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CC3=C(C=C2)OCO3)C,2986413,0
