Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
398,P(O)(O)(=O)CN[C@@H]([C@@H](O)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325095,0.66500002
399,S[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44377139,0.68800002
400,SCC(Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,44323289,0.69599998
401,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H](C(O)=O)[C@H]1NCCC1)C,54395218,0.69999999
402,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CCCC)C,44352399,0.69999999
403,SCCC(OC(Cc1ccccc1)C(O)=O)=O,13687301,0.70795
404,SCN1C(=O)N2N(CC=C[C@H]2C(O)=O)C1=O,44317359,0.70795
405,SC(C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)CC(C)C,44384300,0.70999998
406,SC[C@H]1CCCCCCc2c(C[C@H](NC1=O)C(O)=O)cccc2,10664538,0.72500002
407,O=C1N[C@@H](CC1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,5748613,0.73000002
408,P(O)(O)(=O)CN[C@@H](CCCC)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44325093,0.73100001
409,SCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(O)=O,44317007,0.75858003
410,SC(Cc1ccccc1)CC(C(CC)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,44298403,0.80000001
411,SC(CC(=O)NC(Cc1ccccc1)C(O)=O)C(F)(F)F,45267758,0.82999998
412,SCCC(=O)N[C@H](C(O)=O)C,13036940,0.85114002
413,OC(=O)[C@@H]1N(CCC1)C(=O)CNCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44386400,0.95999998
414,SCC1CCCN(CC(O)=O)C1=O,133560,1
415,O=C1N(c2c(CC[C@@H]1N[C@@H](CC(C)C)C(OC)=O)cccc2)CC(O)=O,13500793,1
416,SC(C(F)(F)C(F)(F)F)CC(=O)NC(Cc1ccccc1)C(O)=O,45273826,1.01
417,O(C)c1cc2C[C@H](N(Cc2cc1OC)C(=O)[C@@H](N[C@H](CCc1ccccc1)C(OCC)=O)C)C(O)=O,71461712,1.1
418,SCC(Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@H]1CCc2c3N([C@@H](Cc3ccc2)C(O)=O)C1=O,71449083,1.12
419,OC(=O)[C@H]1N(CCC1)C(=O)CC/C(=N\O)/C(NC(=O)c1ccccc1)Cc1ccccc1,44385857,1.2
420,SC(C(Cc1ccccc1)C(=O)NC(C(C)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)C,44385190,1.3
421,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C,9840601,1.4
422,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@H]([C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,71449056,1.4
423,O=C1N(C(=O)[C@@H](N)C)[C@@H](CN1Cc1ccccc1)C(O)=O,44331738,1.5
424,OC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)Cc1c2c([nH]c1)cccc2,168182,1.58489
425,SCCC(=O)N[C@@H](C(C)C)C(O)=O,44317115,1.58489
426,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1C)Cc1ccccc1,44385582,1.6
427,O=C(NO)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,44266803,1.6
428,SC(C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)CCc1ccccc1,44385237,1.6
429,S(C(c1ccc(cc1)C(C)C)c1ccccc1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581702,1.7
430,O=C1N(CCN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc2cc3c(cc2)cccc3)C(O)=O)C(=O)c2c3c1cccc3ccc2,24882714,1.98
431,OC(=O)[C@@H](NC(=O)[C@@H](N)[C@H](CC)C)Cc1c2c([nH]c1)cccc2,7019085,1.99526
432,SC[C@@H]1Cc2c(CCCCC[C@H](NC1=O)C(O)=O)cccc2,10496022,2
433,S(C(CCc1ccccc1)C(OCC)=O)C(C(=O)N1C2C(C[C@H]1C(O)=O)CCCC2)C,57398463,2
434,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(OCC)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13477728,2.2
435,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)C,7408255,2.3
436,SCCC(=O)CCC(O)=O,20336735,2.3988299
437,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NCC(O)=O)C,44306009,2.3988299
438,O=C1N(C(=O)[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456346,2.4000001
439,O=C1N(C(=O)[C@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1C)C(O)=O,13456368,2.4000001
440,SC(Cc1ccccc1)CC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,44298425,2.4000001
441,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](NCC(O)=O)C,44368279,2.4000001
442,SCN1C(=O)N2N(CC=CC2C(O)=O)C1=O,13144519,2.5118899
443,O(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)N[C@H](CCC(=O)N1c2c(C[C@H]1C(O)=O)cccc2)C(O)=O,44317066,2.5118899
444,O(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@H](CCC(=O)N1CCC[C@H]1C(O)=O)C(O)=O,44316848,2.5118899
445,SCCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,44317099,2.5704
446,OC(=O)CN(C(=O)C(N)C)c1ccc(cc1)C,15615011,2.5704
447,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCC)C(OCC)=O)cccc2)CC(O)=O,13500798,2.5999999
448,SC(Cc1ccccc1)CC(C(CC)C)C(=O)N1CCCC1C(O)=O,44298431,2.8
449,SC(CC(C)C)CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,44383743,2.8
450,SC(CCc1ccccc1)CC(C(CC)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,44298205,2.9000001
451,S(C(CCc1ccccc1)C(OCC)=O)C(C(=O)N1CCCC1C(O)=O)C,44459870,2.9000001
452,S(C(C)(C)c1ccc(cc1)C1CCCCC1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,21967878,3
453,SCCC(=O)N(CC(O)=O)C,13036947,3.0199499
454,S(Cc1ccc(cc1)C)C[C@@H](NC(=O)[C@@H](Cc1cc2c(cc1)cccc2)CS)C(O)=O,44461318,3.0999999
455,SCC1(C)C(=O)N2N(CCCC2C(O)=O)C1=O,13144530,3.1622801
456,OC(=O)[C@H]1N(CCC1)C(=O)[C@H](CC(=O)[C@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44328852,3.2
457,SC(C(CC)C)CC(C(CC)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,44298402,3.4000001
458,SC(C(CC)C)CC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)N,44298428,3.5
459,SC(CC(Cc1ccccc1)C(=O)NC(C(O)=O)C)c1ccccc1,44298467,3.5
460,SC(Cc1ccccc1)CC(Cc1ccccc1)C(=O)NCCC(O)=O,44298426,3.5
461,SC(Cc1ccccc1)CC(Cc1ccccc1)C(=O)N1CCCC1C(O)=O,44298355,3.5999999
462,S(C(CCCC)c1ccc(cc1)C(C)C)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581701,3.5999999
463,SCC1CCN(CC(O)=O)C1=O,12698984,3.7
464,Oc1ccc(cc1)C[C@H](NC(=O)[C@@H](N)[C@H](CC)C)C(O)=O,7408195,3.7
465,SC(Cc1ccccc1)CC(Cc1ccccc1)C(=O)NC(C(O)=O)C,44298544,3.8
466,SC(C(Cc1ccccc1)C(=O)NC(C(O)=O)C)CCc1ccccc1,44298353,4
467,SC([C@H](Cc1ccccc1)C(=O)N[C@H](C(O)=O)C)CC(C)C,44384213,4
468,SC(Cc1ccccc1)CC(C(CC)C)C(O)=O,44298316,4
469,SC(C(CC)C)CC(C(CC)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)N,44298401,4
470,S(Cc1ccc(cc1)C1CCCCC1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581589,4
471,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C,44352389,4.1999998
472,SC(C(CC)C)CC(Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,44298400,4.4000001
473,SC(C(C(C)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)CCc1ccccc1,44384274,4.5
474,S(Cc1ccc(N(CC)CC)cc1)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581627,4.5999999
475,S1C[C@@H](N(C1)C(=O)C(SC(CCc1ccccc1)C(OCC)=O)C)C(O)=O,57396695,4.8000002
476,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](CCC(O)=O)C,44317192,4.89779
477,OC(=O)C1N(CCC1)C(=O)[C@H](CCC(O)=O)C,44305060,4.9000001
478,S[C@@H]([C@H](Cc1ccccc1)C(=O)N[C@H](C(O)=O)C)CC(C)C,10381547,5
479,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(OCC)=O)C)[C@@H](CN1C)C(O)=O,13456353,5.0999999
480,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NCCCc1ccccc1)C,44317255,5.7543998
