Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
71,FC(F)(F)C(O)=O.OC(=O)C1N(CCC1)C(=O)C(CC(=O)C(NC(=O)C(NC(=O)C1CCC1)CCCCN)Cc1ccccc1)C,44266572,0.003
72,S1C[C@H](NC(CCc2ccccc2)C(O)=O)C(=O)N(c2c1cccc2)CC(O)=O,13375125,0.003
73,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](C[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,54560245,0.003
74,O(C)c1cc2CC(N(Cc2cc1OC)C(=O)C(NC(CCc1ccccc1)C(O)=O)C)C(O)=O,13044278,0.003
75,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](CC(=O)[C@H](NC(=O)c1ccccc1)Cc1ccccc1)C,44316753,0.00302
76,O=C1N(CC(O)=O)[C@@H](CCCC1NC(CCc1ccccc1)C(O)=O)C,44317125,0.00302
77,OC(=O)C1N(Cc2c1cccc2)C(=O)C(NC(CCc1ccccc1)C(O)=O)C,44301552,0.0031
78,OC(=O)C1N(CCC1)C(=O)C(NC(CCc1c2c(ccc1)cccc2)C(O)=O)C,44337754,0.003162
79,O=C1N2N(CC=CC2C(O)=O)C(=O)N1CC(O)=O,20557515,0.003162
80,OC(=O)[C@H]1N(CCC1)C(=O)CCC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1,156271,0.0032
81,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C,114973,0.0032
82,S(Cc1c2c(ccc1)cccc2)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586792,0.0032
83,P(O[C@@H](CCCCN)C(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)(O)(=O)CCCCc1ccccc1,14630734,0.003236
84,O=C1N(C(=O)[C@@H](N[C@@H](CCC(C)C)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456384,0.0033
85,S(Cc1ccc(cc1)C(C)C)[C@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586860,0.0033
86,O(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)N[C@H](CCC(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C(O)=O,44317023,0.003467
