Experimental pIC-50 values of molecules towards SARS-COV-2 clinical trials,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
49,[H]C1=C([H])C2=C(S1)C(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1C2=C1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],3827,0.001
50,[H]OC1=C(C([H])=C(Cl)C([H])=C1[H])C(=O)N([H])C1=C(Cl)C([H])=C(C([H])=C1[H])[N+]([O-])=O,4477,0.001
51,[H]OC(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])C(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])SC([H])([H])[H],443363,0.001
52,[H]N1C2=NC([H])=C([H])C(=N2)C2=C([H])C([H])=C([H])C(=C2[H])C([H])([H])OC([H])([H])\C([H])=C([H])/C([H])([H])OC([H])([H])C2=C(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])=C([H])C1=C2[H],46216796,0.001
53,[H]OC1=C(\C(=N\C2=C([H])C([H])=C(C([H])=C2[H])N(C(=O)C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C(N1[H])C([H])=C(C([H])=C2[H])C(=O)OC([H])([H])[H],135423438,0.001
54,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],60961,0.001148
55,[H]O[C@@]1([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([H])([H])[C@@]2([H])[C@]([H])(C([H])=C([H])C3=C([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@]23[H])C([H])([H])[H])C1([H])[H],54454,0.0013
56,[H]OC(=O)C([H])(N(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1C1=NN([H])N=N1)C([H])(C([H])([H])[H])C([H])([H])[H],60846,0.0014
57,[H]N([H])C(=NC1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C(=O)OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])N([H])[H],2536,0.0016
58,[H]C1=C2C([H])([H])[C@@]([H])(SC(=O)C([H])([H])[H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5(OC(=O)C([H])([H])C5([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C1=O,5833,0.0016
