Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
117,O1c2c(ccc(NC(=O)Cc3ccccc3[N+](=O)[O-])c2)C(=CC1=O)C,2971444,1
118,O(CCNC(=O)C1=CC(=O)Nc2c1cccc2)c1ccccc1OC,2558401,1
119,O(C(=O)CN1C(=O)c2c(cccc2)C1=O)c1ccc(cc1)C(OC)=O,728514,1
120,O1c2c(OCC1CN1c3c(cc(OCC)cc3)C(=O)C1=O)cccc2,17584476,1
121,O(C)c1cc(ccc1OC)\C=N\NC(=O)Cn1nnc2c1cccc2,9557232,1
122,OC1(c2c(N(CC(=O)N)C1=O)cccc2)CC(=O)c1ccccc1O,2925127,1
123,S=C1NN=C(N1\N=C\C=C\c1ccccc1[N+](=O)[O-])c1occc1,6878045,1
124,S=C1NC(=O)/C(=C\c2oc(cc2)C)/C(=O)N1c1cc(OC)ccc1,710241,1
125,OC(=O)c1ccc(N2N=C(CC2c2ccccc2)c2ccccc2)cc1,2853037,1
126,O(CC(=O)Nc1nn(nn1)CCC)c1ccc(cc1)C1CCCCC1,893627,1
127,Clc1ccc(cc1)C(=O)c1n([n+]([O-])c2c1cccc2)CCC(=O)N,24817257,1
128,Brc1ccc(cc1)C(=O)NN1C=Nc2c(cccc2)C1=O,3634352,1
129,O1CCN(CC1)c1nc(nc(N)c1[N+](=O)[O-])Nc1cc(C)c(cc1)C,3774350,1
130,S1C(C)(C)C(N(O)C(=O)NC)N(\N=C\c2sccc2)C1=S,9666324,1
131,FC(F)Oc1ccccc1C(=O)Nc1cc2OC(=O)C=C(c2cc1)C,4794522,1
132,S(CC(O\N=C(/N)\c1cc(OC)c(OC)cc1)=O)c1ccccc1,9550250,1
133,Fc1ccc(cc1)/C(=C/c1cc(OCc2ccccc2)ccc1)/C(O)=O,6268409,1
134,s1c(nnc1NC(=O)c1cc(ccc1)C)Cc1c2c([nH]c1)cccc2,778154,1
135,Clc1ccc(NC(=O)Cc2ccccc2[N+](=O)[O-])cc1C(OC)=O,970829,1
136,Clc1ccc(NN=C2c3c(-c4c2cccc4)cccc3)cc1C(O)=O,5114648,1
137,Fc1ccccc1N1C(O)=C(\C=C/2\c3c(N=C\2)cccc3)C(=O)NC1=O,135451179,1
138,s1cccc1-c1nc2n(nc(c2c(c1)C(O)=O)C)-c1cc(ccc1)C,4542341,1
